月份,1.162.0.28,1.165.81.210,103.151.173.102,103.151.173.197,103.151.173.95,104.251.224.21,104.251.224.22,129.150.35.142,134.185.81.235,138.2.70.153,138.2.70.248,140.245.44.84,140.245.60.79,140.245.99.131,157.254.154.46,158.178.238.1,16.162.254.237,18.162.62.79,183.227.11.37,185.74.222.113,217.142.185.226,222.178.10.202,222.178.10.233,23.142.200.93,2a06:98c0:3600::103,31.192.233.129,31.223.184.30,39.144.219.183,43.243.192.97,43.255.118.56,5.180.78.52,91.199.84.60
1,0.0,0.0,18.0,43.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,49.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,71.0,0.0,0.0,0.0,51.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0
2,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,29.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,46.0,395.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
9,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
