时间,模型,积分消耗,当前余额积分
03-09 15:04:59,gpt-4o-mini,17,65194
03-09 15:04:23,deepseek-r1,214,65408
03-09 14:43:08,deepseek-r1,271,65679
03-09 14:42:14,gpt-4o-mini,18,65697
03-09 14:41:23,deepseek-r1,256,65953
03-09 13:39:44,gpt-4o-mini,24,65977
03-09 13:38:59,gpt-4o-mini,21,65998
03-09 13:34:37,gpt-4o-mini,5,66003
03-09 13:33:00,gpt-4o-mini,3,66006
03-09 12:26:50,gpt-4o-mini,26,66032
03-09 12:26:09,deepseek-v3,182,66214
03-09 12:25:25,deepseek-v3,114,66328
03-09 12:24:56,deepseek-v3,97,66425
03-09 12:23:22,deepseek-v3,81,66506
03-09 12:19:56,gpt-4o-mini,13,66519
03-09 12:19:37,deepseek-v3,53,66572
03-09 12:10:01,gpt-4o-mini,1,66573
03-09 06:37:30,deepseek-r1,241,66814
03-09 06:36:50,deepseek-r1,193,67007
03-09 04:54:21,gpt-4o-mini,7,67014
03-09 04:54:07,deepseek-r1,124,67138
03-09 02:56:48,gpt-4o-mini,13,67151
03-09 00:28:11,gpt-4o-mini,29,67180
03-09 00:27:45,gpt-4o-mini,16,67196
03-09 00:08:42,gpt-4o-mini,13,67209
03-09 00:08:10,deepseek-r1,171,67380
03-09 00:06:38,gpt-4o-mini,4,67384
03-08 20:52:42,gpt-4o-mini,346,67730
03-08 20:48:07,gpt-4o-mini,331,68061
03-08 20:42:03,gpt-4o-mini,325,68386
03-08 20:29:46,gpt-4o-mini,314,68700
03-08 15:04:30,gpt-4o-mini,303,69003
03-08 14:57:58,gpt-4o-mini,294,69297
03-08 14:53:57,gpt-4o-mini,269,69566
03-08 14:46:49,gpt-4o-mini,256,69822
03-08 14:38:54,gpt-4o-mini,243,70065
03-08 14:36:18,gpt-4o-mini,242,70307
03-08 14:27:34,gpt-4o-mini,231,70538
03-08 14:22:12,gpt-4o-mini,221,70759
03-08 14:18:52,deepseek-r1,516,71275
03-08 14:17:51,deepseek-r1,314,71589
03-08 14:17:25,gpt-4o-mini,9,71598
03-08 14:17:05,deepseek-v3,63,71661
03-08 14:15:29,gpt-4o-mini,41,71702
03-08 14:10:23,gpt-4o-mini,36,71738
03-08 14:03:01,gpt-4o-mini,21,71759
03-08 13:50:50,gpt-4o-mini,212,71971
03-08 13:49:21,gpt-4o-mini,193,72164
03-08 13:41:36,gpt-4o-mini,185,72349
03-08 13:36:25,gpt-4o-mini,177,72526
03-08 13:29:14,gpt-4o-mini,160,72686
03-08 13:24:04,gpt-4o-mini,159,72845
03-08 13:14:07,gpt-4o-mini,158,73003
03-08 13:09:32,gpt-4o-mini,148,73151
03-08 13:06:18,gpt-4o-mini,145,73296
03-08 13:05:30,gpt-4o-mini,132,73428
03-08 13:01:57,gpt-4o-mini,127,73555
03-08 12:39:32,gpt-4o-mini,130,73685
03-08 12:36:01,gpt-4o-mini,101,73786
03-08 12:34:07,chatgpt-4o-latest,3456,77242
03-08 12:32:33,chatgpt-4o-latest,3715,80957
03-08 12:34:40,gpt-4o-mini,88,81045
03-08 12:33:06,gpt-4o-mini,49,81094
03-08 08:15:19,gpt-4o-mini,14,81108
03-08 08:14:28,deepseek-r1,186,81294
03-08 08:14:15,gpt-4o-mini,1,81295
03-08 08:13:48,deepseek-r1,171,81466
03-08 08:13:01,deepseek-r1,152,81618
03-08 08:12:45,gpt-4o-mini,13,81631
03-08 08:12:10,deepseek-r1,170,81801
03-08 05:51:54,gpt-4o-mini,36,81837
03-08 05:51:06,deepseek-r1,354,82191
03-08 05:45:29,img-gpt-4o-mini,200,82391
03-08 05:45:29,gpt-4o-mini,54,82445
03-08 05:43:57,deepseek-r1,215,82660
03-08 05:38:49,deepseek-r1,431,83091
03-08 05:37:58,gpt-4o-mini,17,83108
03-08 05:37:12,deepseek-r1,222,83330
03-08 05:34:37,gpt-4o-mini,8,83338
03-08 05:34:20,claude-3-7-sonnet-20250219,1023,84361
03-08 05:31:07,gpt-4o-mini,34,84395
03-08 05:30:17,claude-3-7-sonnet-20250219,3311,87706
03-08 05:04:06,img-chatgpt-4o-latest,1000,88706
03-08 05:04:06,chatgpt-4o-latest,1568,90274
03-08 05:03:05,img-chatgpt-4o-latest,1000,91274
03-08 05:03:05,chatgpt-4o-latest,1236,92510
03-08 04:57:53,gpt-4o-mini,9,92519
03-08 04:57:28,img-chatgpt-4o-latest,1000,93519
03-08 04:57:28,chatgpt-4o-latest,957,94476
03-07 23:29:08,gpt-4o-mini,36,94512
03-07 23:28:13,deepseek-r1,330,94842
03-07 14:21:32,gpt-4o-mini,162,95004
03-07 14:16:45,gpt-4o-mini,160,95164
03-07 14:13:29,gpt-4o-mini,156,95320
03-07 14:10:33,gpt-4o-mini,146,95466
03-07 14:08:07,gpt-4o-mini,146,95612
03-07 14:05:14,gpt-4o-mini,141,95753
03-07 14:02:04,gpt-4o-mini,137,95890
03-07 14:00:30,gpt-4o-mini,134,96024
